Search Appearance,Clicks,Impressions,CTR,Position
AMP non-rich results,3345,144039,2.32%,22.32
Product snippets,83,8349,0.99%,25.17
Merchant listings,6,27,22.22%,2.7
AMP article,6,685,0.88%,1.07
Review snippet,0,56,0%,15.66
